Country,League,game_id,Season,Date,Time,Home,home_id,Away,Away_id,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Brazil,Serie A,25,2012,07-06-12,0:30,Vasco,28,Nautico,28,4,2,1,1.4,4.99,9.42,1.4,5.04,10,1.37,4.4,8.19
Brazil,Serie A,26,2012,07-06-12,1:50,Internacional,18,Sao Paulo,18,1,0,1,1.83,3.77,4.75,2,3.77,4.75,1.86,3.41,4.03
Brazil,Serie A,27,2012,07-06-12,1:50,Ponte Preta,22,Flamengo RJ,22,2,2,0,2.52,3.53,2.94,2.8,3.54,2.94,2.55,3.21,2.67
Brazil,Serie A,28,2012,07-06-12,1:50,Santos,25,Fluminense,25,1,1,0,2.15,3.45,3.77,2.2,3.45,4,2.02,3.23,3.63
Brazil,Serie A,29,2012,08-06-12,1:00,Botafogo RJ,7,Cruzeiro,7,2,3,2,2.17,3.39,3.79,2.24,3.52,4.09,2.02,3.32,3.58
Brazil,Serie A,30,2012,08-06-12,1:00,Corinthians,9,Figueirense,9,1,1,0,1.61,4.12,6.35,1.63,4.13,6.5,1.56,3.77,5.68
Brazil,Serie A,31,2012,09-06-12,22:30,Flamengo RJ,14,Coritiba,14,3,1,1,2.06,3.51,3.95,2.12,3.52,4.75,1.93,3.34,3.83
Brazil,Serie A,32,2012,10-06-12,1:00,Palmeiras,21,Atletico-MG,21,0,1,2,2.06,3.69,3.79,2.2,3.7,3.85,2.05,3.37,3.39
Brazil,Serie A,33,2012,10-06-12,20:00,Portuguesa,23,Atletico GO,23,2,0,1,2.19,3.43,3.67,2.29,3.43,3.75,2.08,3.26,3.4
Brazil,Serie A,34,2012,10-06-12,21:00,Bahia,6,Vasco,6,1,2,2,3.04,3.47,2.48,3.25,3.47,2.48,2.93,3.24,2.31
Brazil,Serie A,35,2012,10-06-12,21:00,Fluminense,15,Internacional,15,0,0,0,1.96,3.43,4.59,1.98,3.43,4.7,1.92,3.27,3.95
Brazil,Serie A,36,2012,10-06-12,21:00,Gremio,17,Corinthians,17,2,0,1,1.53,4.24,7.45,1.73,4.29,7.54,1.53,3.84,6.06
Brazil,Serie A,37,2012,10-06-12,22:30,Cruzeiro,12,Sport Recife,12,1,0,1,1.54,4.26,7.3,1.7,4.42,7.32,1.55,3.83,5.76
Brazil,Serie A,38,2012,10-06-12,22:30,Figueirense,13,Ponte Preta,13,0,0,0,1.85,3.71,4.71,1.86,3.75,5,1.74,3.51,4.52
Brazil,Serie A,39,2012,10-06-12,22:30,Nautico,20,Botafogo RJ,20,3,2,1,2.33,3.58,3.18,2.7,3.64,3.18,2.35,3.36,2.8
Brazil,Serie A,40,2012,10-06-12,22:30,Sao Paulo,26,Santos,26,1,0,1,1.85,3.7,4.74,1.88,3.76,4.74,1.83,3.42,4.11
Brazil,Serie A,41,2012,16-06-12,22:30,Cruzeiro,12,Figueirense,12,1,0,1,1.77,3.85,5.09,1.79,4.09,5.09,1.72,3.53,4.54
Brazil,Serie A,42,2012,16-06-12,22:30,Internacional,18,Botafogo RJ,18,1,2,2,1.61,4.37,5.94,1.61,4.59,6.5,1.54,3.91,5.7
Brazil,Serie A,43,2012,17-06-12,1:00,Fluminense,15,Portuguesa,15,4,1,1,1.54,4.38,6.98,1.58,4.38,8,1.46,4.04,6.8
Brazil,Serie A,44,2012,17-06-12,20:00,Bahia,6,Sport Recife,6,2,1,1,1.93,3.54,4.51,2.1,3.54,4.51,1.96,3.34,3.68
Brazil,Serie A,45,2012,17-06-12,20:00,Flamengo RJ,14,Santos,14,1,0,1,1.75,3.96,5.13,1.76,3.97,5.65,1.63,3.65,5.12
Brazil,Serie A,46,2012,17-06-12,20:00,Palmeiras,21,Vasco,21,1,1,0,2.38,3.55,3.14,2.45,3.56,3.32,2.33,3.24,2.91
Brazil,Serie A,47,2012,17-06-12,20:00,Sao Paulo,26,Atletico-MG,26,1,0,1,2.31,3.24,3.53,2.31,3.39,3.75,2.1,3.23,3.38
Brazil,Serie A,48,2012,17-06-12,22:30,Coritiba,10,Atletico GO,10,3,0,1,1.94,3.7,4.22,2.02,3.7,4.59,1.83,3.42,4.08
Brazil,Serie A,49,2012,17-06-12,22:30,Nautico,20,Gremio,20,1,0,1,2.7,3.42,2.8,2.7,3.47,2.94,2.44,3.26,2.73
Brazil,Serie A,50,2012,17-06-12,22:30,Ponte Preta,22,Corinthians,22,1,0,1,2.19,3.66,3.44,2.29,3.66,3.75,2.15,3.24,3.23
Brazil,Serie A,51,2012,23-06-12,22:30,Portuguesa,23,Sao Paulo,23,1,0,1,3.42,3.8,2.15,3.51,3.8,2.35,3.07,3.28,2.22
Brazil,Serie A,52,2012,23-06-12,22:30,Vasco,28,Cruzeiro,28,1,3,2,1.8,3.91,4.76,1.8,4,5,1.72,3.59,4.53
Brazil,Serie A,53,2012,24-06-12,1:00,Atletico-MG,3,Nautico,3,5,1,1,1.35,5.09,10.75,1.44,5.5,11.04,1.35,4.54,8.38
Brazil,Serie A,54,2012,24-06-12,20:00,Corinthians,9,Palmeiras,9,2,1,1,2.92,3.35,2.63,2.92,3.35,2.77,2.65,3.1,2.62
Brazil,Serie A,55,2012,24-06-12,20:00,Figueirense,13,Bahia,13,1,1,0,1.59,4,6.99,1.65,4.09,6.99,1.59,3.74,5.46
Brazil,Serie A,56,2012,24-06-12,20:00,Gremio,17,Flamengo RJ,17,2,0,1,1.63,3.97,6.33,1.78,3.99,6.44,1.66,3.66,4.92
Brazil,Serie A,57,2012,24-06-12,22:30,Atletico GO,2,Fluminense,2,1,4,2,2.78,3.46,2.69,2.9,3.46,2.76,2.8,3.22,2.41
Brazil,Serie A,58,2012,24-06-12,22:30,Botafogo RJ,7,Ponte Preta,7,1,2,2,1.55,4.24,7.18,1.68,4.28,7.18,1.58,3.82,5.41
Brazil,Serie A,59,2012,24-06-12,22:30,Santos,25,Coritiba,25,2,2,0,1.69,4.12,5.35,1.74,4.16,5.75,1.6,3.78,5.18
Brazil,Serie A,60,2012,24-06-12,22:30,Sport Recife,27,Internacional,27,0,2,2,2.93,3.33,2.65,3.25,3.33,2.65,2.88,3.15,2.4
Brazil,Serie A,61,2012,30-06-12,20:20,Cruzeiro,12,Sao Paulo,12,2,3,2,2.09,3.48,3.92,2.2,3.6,3.92,2.04,3.3,3.47
Brazil,Serie A,62,2012,30-06-12,20:20,Nautico,20,Fluminense,20,0,2,2,3.14,3.43,2.45,3.14,3.43,2.75,2.86,3.24,2.35
Brazil,Serie A,63,2012,30-06-12,22:30,Vasco,28,Ponte Preta,28,3,2,1,1.58,4.23,6.5,1.58,4.8,8,1.46,4.03,6.78
Brazil,Serie A,64,2012,01-07-12,20:00,Bahia,6,Internacional,6,1,1,0,2.98,3.41,2.54,3.1,3.5,2.56,2.9,3.16,2.38
Brazil,Serie A,65,2012,01-07-12,20:00,Coritiba,10,Sport Recife,10,2,3,2,1.7,3.95,5.51,1.71,4.2,5.64,1.66,3.58,5.01
Brazil,Serie A,66,2012,01-07-12,20:00,Portuguesa,23,Santos,23,0,0,0,3.93,3.56,2.04,4.01,3.7,2.1,3.52,3.32,2.02
Brazil,Serie A,67,2012,01-07-12,22:30,Flamengo RJ,14,Atletico GO,14,3,2,1,1.76,3.75,5.38,1.76,4.5,6,1.59,3.71,5.44
Brazil,Serie A,68,2012,01-07-12,22:30,Gremio,17,Atletico-MG,17,0,1,2,1.97,3.51,4.42,2,3.8,4.42,1.93,3.31,3.8
Brazil,Serie A,69,2012,01-07-12,22:30,Palmeiras,21,Figueirense,21,3,1,1,1.97,3.55,4.33,2.22,3.55,4.33,2,3.28,3.64
Brazil,Serie A,70,2012,07-07-12,22:30,Botafogo RJ,7,Bahia,7,3,0,1,1.56,4.24,6.88,1.6,4.24,6.88,1.55,3.77,5.85
Brazil,Serie A,71,2012,07-07-12,22:30,Internacional,18,Cruzeiro,18,2,1,1,1.84,3.69,4.88,1.84,3.69,5.25,1.75,3.48,4.55
Brazil,Serie A,72,2012,08-07-12,1:00,Atletico GO,2,Nautico,2,0,1,2,1.66,4.26,5.44,1.8,4.26,5.67,1.65,3.78,4.86
Brazil,Serie A,73,2012,08-07-12,20:00,Figueirense,13,Vasco,13,1,1,0,2.43,3.36,3.22,2.48,3.41,3.31,2.31,3.2,2.99
Brazil,Serie A,74,2012,08-07-12,20:00,Fluminense,15,Flamengo RJ,15,1,0,1,2.04,3.67,3.85,2.09,3.67,4,1.96,3.35,3.67
Brazil,Serie A,75,2012,08-07-12,20:00,Santos,25,Gremio,25,4,2,1,2,3.62,4.13,2.02,3.74,4.34,1.87,3.38,3.99
Brazil,Serie A,76,2012,08-07-12,20:00,Sao Paulo,26,Coritiba,26,3,1,1,1.53,4.58,6.76,1.56,4.58,7.75,1.46,4.07,6.85
Brazil,Serie A,77,2012,08-07-12,22:30,Atletico-MG,3,Portuguesa,3,2,0,1,1.43,5.09,7.9,1.47,5.09,8.5,1.39,4.4,7.52
Brazil,Serie A,78,2012,08-07-12,22:30,Ponte Preta,22,Palmeiras,22,1,0,1,2.27,3.33,3.56,2.29,3.35,3.75,2.12,3.22,3.36
Brazil,Serie A,79,2012,08-07-12,22:30,Sport Recife,27,Corinthians,27,1,1,0,2.41,3.48,3.14,2.5,3.48,3.4,2.22,3.22,3.11
Brazil,Serie A,80,2012,11-07-12,23:30,Corinthians,9,Botafogo RJ,9,1,3,2,2.06,3.54,3.93,2.06,3.54,4.33,1.89,3.32,3.94
Brazil,Serie A,81,2012,14-07-12,22:30,Corinthians,9,Nautico,9,2,1,1,1.41,4.9,9.3,1.45,4.9,9.3,1.41,4.31,7.41
Brazil,Serie A,82,2012,14-07-12,22:30,Figueirense,13,Atletico-MG,13,3,4,2,2.74,3.38,2.78,2.74,3.7,3,2.47,3.24,2.7
Brazil,Serie A,83,2012,15-07-12,1:00,Ponte Preta,22,Coritiba,22,4,1,1,2.68,3.34,2.88,2.68,3.75,3.5,2.32,3.21,2.98
Brazil,Serie A,84,2012,15-07-12,20:00,Bahia,6,Flamengo RJ,6,1,2,2,2.27,3.5,3.4,2.36,3.6,3.4,2.25,3.26,3.02
Brazil,Serie A,85,2012,15-07-12,20:00,Botafogo RJ,7,Fluminense,7,1,1,0,2.6,3.48,2.86,2.88,3.6,2.86,2.57,3.24,2.61
Brazil,Serie A,86,2012,15-07-12,20:00,Cruzeiro,12,Gremio,12,1,3,2,1.98,3.62,4.19,2,3.8,4.33,1.93,3.38,3.75
Brazil,Serie A,87,2012,15-07-12,20:00,Internacional,18,Santos,18,0,0,0,2.04,3.51,4.08,2.04,3.7,4.33,1.9,3.34,3.91
Brazil,Serie A,88,2012,15-07-12,22:30,Palmeiras,21,Sao Paulo,21,1,1,0,2.7,3.2,2.97,2.75,3.5,2.97,2.6,3.16,2.64
Brazil,Serie A,89,2012,15-07-12,22:30,Sport Recife,27,Portuguesa,27,2,1,1,2.23,3.45,3.56,2.25,3.7,3.8,2.06,3.32,3.43
Brazil,Serie A,90,2012,15-07-12,22:30,Vasco,28,Atletico GO,28,1,0,1,1.61,4.23,6.09,1.62,4.59,7.95,1.52,3.92,5.97
Brazil,Serie A,91,2012,18-07-12,23:30,Gremio,17,Sport Recife,17,3,1,1,1.42,4.94,8.94,1.45,5.4,8.97,1.37,4.41,7.96
Brazil,Serie A,92,2012,18-07-12,23:30,Santos,25,Botafogo RJ,25,0,0,0,2.24,3.6,3.37,2.35,3.7,3.42,2.21,3.28,3.1
Brazil,Serie A,93,2012,19-07-12,0:30,Nautico,20,Ponte Preta,20,3,0,1,2.25,3.58,3.37,2.27,3.58,3.4,2.15,3.28,3.2
Brazil,Serie A,94,2012,19-07-12,0:30,Portuguesa,23,Cruzeiro,23,0,2,2,2.59,3.36,2.97,2.62,3.38,3,2.44,3.2,2.78
Brazil,Serie A,95,2012,19-07-12,1:50,Atletico-MG,3,Internacional,3,3,1,1,1.69,3.96,5.73,1.85,4,5.73,1.72,3.51,4.64
Brazil,Serie A,96,2012,19-07-12,1:50,Flamengo RJ,14,Corinthians,14,0,3,2,2.57,3.36,3.01,2.58,3.5,3.1,2.38,3.2,2.89
Brazil,Serie A,97,2012,19-07-12,1:50,Sao Paulo,26,Vasco,26,0,1,2,1.89,3.75,4.42,1.92,3.8,4.42,1.86,3.39,4.04
Brazil,Serie A,98,2012,20-07-12,1:00,Atletico GO,2,Figueirense,2,3,2,1,1.97,3.44,4.38,2.2,3.8,4.44,1.98,3.34,3.63
Brazil,Serie A,99,2012,20-07-12,1:00,Coritiba,10,Palmeiras,10,1,1,0,1.86,3.72,4.53,1.89,3.9,4.55,1.79,3.5,4.21
Brazil,Serie A,100,2012,20-07-12,1:00,Fluminense,15,Bahia,15,4,0,1,1.38,5.3,9.11,1.4,5.5,10.13,1.34,4.57,8.98
Brazil,Serie A,101,2012,21-07-12,22:30,Sport Recife,27,Atletico-MG,27,1,4,2,3.67,3.5,2.16,3.78,3.5,2.25,3.3,3.3,2.09
Brazil,Serie A,102,2012,21-07-12,22:30,Vasco,28,Santos,28,2,0,1,1.78,3.83,5.11,1.8,3.83,5.15,1.69,3.56,4.76
Brazil,Serie A,103,2012,22-07-12,1:00,Corinthians,9,Portuguesa,9,1,1,0,1.7,4.09,5.33,1.7,4.09,6.8,1.57,3.74,5.7
Brazil,Serie A,104,2012,22-07-12,20:00,Cruzeiro,12,Flamengo RJ,12,1,0,1,1.74,3.94,5.2,1.83,3.94,5.2,1.77,3.53,4.27
Brazil,Serie A,105,2012,22-07-12,20:00,Figueirense,13,Sao Paulo,13,0,2,2,2.47,3.45,3.07,2.54,3.45,3.11,2.4,3.22,2.82
Brazil,Serie A,106,2012,22-07-12,20:00,Internacional,18,Atletico GO,18,4,1,1,1.67,3.91,6.04,1.67,4.3,6.5,1.57,3.7,5.75
Brazil,Serie A,107,2012,22-07-12,20:00,Palmeiras,21,Nautico,21,3,0,1,1.55,4.25,7.13,1.6,4.25,7.13,1.53,3.8,6.11
Brazil,Serie A,108,2012,22-07-12,22:30,Bahia,6,Coritiba,6,2,2,0,2.35,3.45,3.28,2.4,3.45,3.29,2.27,3.23,3
Brazil,Serie A,109,2012,22-07-12,22:30,Botafogo RJ,7,Gremio,7,0,1,2,2.02,3.52,3.98,2.06,3.61,3.99,1.98,3.37,3.58
Brazil,Serie A,110,2012,22-07-12,22:30,Ponte Preta,22,Fluminense,22,1,2,2,3.33,3.49,2.29,3.34,3.51,2.4,3.04,3.27,2.22
Brazil,Serie A,111,2012,25-07-12,23:30,Figueirense,13,Internacional,13,0,1,2,2.64,3.46,2.8,2.64,3.46,2.86,2.51,3.21,2.67
Brazil,Serie A,112,2012,25-07-12,23:30,Ponte Preta,22,Sport Recife,22,1,1,0,1.71,3.98,5.22,1.8,4.05,5.22,1.71,3.61,4.56
Brazil,Serie A,113,2012,26-07-12,0:30,Nautico,20,Coritiba,20,3,4,2,2.22,3.71,3.31,2.24,3.71,3.4,2.14,3.32,3.19
Brazil,Serie A,114,2012,26-07-12,0:30,Vasco,28,Botafogo RJ,28,1,0,1,2.43,3.66,2.99,2.46,3.66,3.2,2.29,3.3,2.92
Brazil,Serie A,115,2012,26-07-12,1:50,Atletico GO,2,Sao Paulo,2,4,3,1,2.67,3.42,2.84,2.9,3.42,2.84,2.68,3.2,2.5
Brazil,Serie A,116,2012,26-07-12,1:50,Corinthians,9,Cruzeiro,9,2,0,1,1.99,3.53,4.25,1.99,3.53,4.25,1.92,3.28,3.83
Brazil,Serie A,117,2012,26-07-12,1:50,Gremio,17,Fluminense,17,1,0,1,1.79,3.74,5,2.02,3.74,5,1.79,3.45,4.26
Brazil,Serie A,118,2012,27-07-12,1:00,Atletico-MG,3,Santos,3,2,0,1,1.57,4.17,6.99,1.57,4.75,8.33,1.49,3.9,6.58
Brazil,Serie A,119,2012,27-07-12,1:00,Flamengo RJ,14,Portuguesa,14,0,0,0,1.78,4.09,4.71,1.82,4.09,5,1.73,3.52,4.6
Brazil,Serie A,120,2012,27-07-12,1:00,Palmeiras,21,Bahia,21,0,2,2,1.57,4.22,6.75,1.58,4.75,7.69,1.48,3.92,6.67
Brazil,Serie A,121,2012,28-07-12,22:30,Coritiba,10,Gremio,10,2,1,1,2.59,3.44,2.92,2.63,3.45,3.2,2.34,3.25,2.88
Brazil,Serie A,122,2012,28-07-12,22:30,Internacional,18,Vasco,18,0,0,0,2.04,3.52,4.07,2.1,3.52,4.07,2.02,3.28,3.51
Brazil,Serie A,123,2012,29-07-12,1:00,Botafogo RJ,7,Figueirense,7,1,0,1,1.53,4.51,6.81,1.56,4.51,6.81,1.52,3.9,5.98
Brazil,Serie A,124,2012,29-07-12,20:00,Bahia,6,Corinthians,6,0,0,0,3.01,3.34,2.57,3.15,3.34,2.57,2.95,3.18,2.33
Brazil,Serie A,125,2012,29-07-12,20:00,Fluminense,15,Atletico-MG,15,0,0,0,2.33,3.47,3.29,2.37,3.47,3.6,2.18,3.26,3.16
Brazil,Serie A,126,2012,29-07-12,20:00,Sao Paulo,26,Flamengo RJ,26,4,1,1,1.69,4.03,5.5,1.76,4.03,5.5,1.69,3.6,4.76
Brazil,Serie A,127,2012,29-07-12,20:00,Sport Recife,27,Atletico GO,27,0,0,0,2.06,3.58,3.92,2.06,3.58,4,1.98,3.32,3.65
Brazil,Serie A,128,2012,29-07-12,22:30,Cruzeiro,12,Palmeiras,12,2,1,1,2,3.34,4.5,2.04,3.8,4.5,1.9,3.32,3.93
Brazil,Serie A,129,2012,29-07-12,22:30,Portuguesa,23,Nautico,23,3,1,1,1.66,4.09,5.76,1.8,4.09,5.76,1.68,3.66,4.75
Brazil,Serie A,130,2012,29-07-12,22:30,Santos,25,Ponte Preta,25,2,1,1,2.02,3.46,4.18,2.1,3.8,4.33,1.92,3.31,3.85
Brazil,Serie A,131,2012,04-08-12,22:30,Atletico GO,2,Botafogo RJ,2,1,2,2,3.06,3.62,2.4,3.06,3.62,2.65,2.76,3.25,2.43
Brazil,Serie A,132,2012,04-08-12,22:30,Palmeiras,21,Internacional,21,0,1,2,2.33,3.35,3.41,2.4,3.39,3.41,2.26,3.21,3.06
Brazil,Serie A,133,2012,05-08-12,1:00,Portuguesa,23,Figueirense,23,2,0,1,1.79,3.77,5.05,1.85,3.77,5.05,1.8,3.47,4.25
Brazil,Serie A,134,2012,05-08-12,20:00,Coritiba,10,Fluminense,10,0,2,2,2.59,3.6,2.8,2.63,3.6,2.81,2.51,3.27,2.65
Brazil,Serie A,135,2012,05-08-12,20:00,Gremio,17,Bahia,17,3,1,1,1.34,5.15,12.11,1.4,5.3,12.17,1.33,4.53,9.43
Brazil,Serie A,136,2012,05-08-12,20:00,Sao Paulo,26,Sport Recife,26,1,0,1,1.44,4.88,8.17,1.44,4.97,9,1.39,4.29,7.79
Brazil,Serie A,137,2012,05-08-12,20:00,Vasco,28,Corinthians,28,0,0,0,2.15,3.5,3.69,2.27,3.5,3.8,2.06,3.24,3.48
Brazil,Serie A,138,2012,05-08-12,22:30,Cruzeiro,12,Ponte Preta,12,1,2,2,1.62,4.28,5.82,1.65,4.4,5.9,1.61,3.72,5.28
Brazil,Serie A,139,2012,05-08-12,22:30,Nautico,20,Santos,20,3,0,1,2.17,3.31,3.87,2.25,3.35,3.87,2.11,3.23,3.34
Brazil,Serie A,140,2012,08-08-12,23:30,Internacional,18,Nautico,18,0,0,0,1.41,5,9,1.44,5,9.26,1.39,4.34,7.83
Brazil,Serie A,141,2012,08-08-12,23:30,Sport Recife,27,Vasco,27,0,2,2,3.1,3.27,2.54,3.45,3.3,2.62,3.02,3.18,2.29
Brazil,Serie A,142,2012,09-08-12,0:30,Bahia,6,Portuguesa,6,0,0,0,2.63,3.15,3.1,2.7,3.29,3.1,2.43,3.12,2.85
Brazil,Serie A,143,2012,09-08-12,0:30,Corinthians,9,Atletico GO,9,1,1,0,1.6,4.08,6.37,1.6,4.17,8.33,1.47,3.9,6.89
Brazil,Serie A,144,2012,09-08-12,1:50,Botafogo RJ,7,Palmeiras,7,1,2,2,1.83,3.63,5.03,1.92,3.63,5.03,1.81,3.37,4.29
Brazil,Serie A,145,2012,09-08-12,1:50,Figueirense,13,Flamengo RJ,13,0,2,2,2.31,3.39,3.43,2.5,3.39,3.43,2.28,3.24,2.99
Brazil,Serie A,146,2012,09-08-12,1:50,Santos,25,Cruzeiro,25,4,2,1,2.35,3.49,3.24,2.44,3.49,3.37,2.3,3.2,2.99
Brazil,Serie A,147,2012,10-08-12,1:00,Atletico-MG,3,Coritiba,3,1,0,1,1.38,5.3,9,1.41,5.3,9.15,1.36,4.48,7.97
Brazil,Serie A,148,2012,10-08-12,1:00,Fluminense,15,Sao Paulo,15,2,1,1,2.21,3.31,3.74,2.22,3.32,3.75,2.07,3.19,3.48
Brazil,Serie A,149,2012,10-08-12,1:00,Ponte Preta,22,Gremio,22,0,0,0,2.8,3.68,2.54,2.93,3.68,2.54,2.73,3.27,2.43
Brazil,Serie A,150,2012,11-08-12,22:30,Bahia,6,Cruzeiro,6,0,1,2,2.82,3.41,2.68,3.07,3.41,2.68,2.79,3.12,2.48
Brazil,Serie A,151,2012,11-08-12,22:30,Santos,25,Atletico GO,25,2,2,0,1.9,3.5,4.76,1.9,3.5,4.76,1.82,3.36,4.18
Brazil,Serie A,152,2012,11-08-12,22:30,Sport Recife,27,Figueirense,27,0,1,2,1.74,3.65,5.84,1.77,3.75,6,1.66,3.52,5.04
Brazil,Serie A,153,2012,12-08-12,1:00,Flamengo RJ,14,Nautico,14,2,0,1,1.93,3.57,4.53,1.94,3.6,4.55,1.81,3.4,4.21
Brazil,Serie A,154,2012,12-08-12,20:00,Atletico-MG,3,Vasco,3,1,0,1,1.78,3.74,5.26,1.9,3.74,5.26,1.8,3.38,4.33
Brazil,Serie A,155,2012,12-08-12,20:00,Coritiba,10,Corinthians,10,1,2,2,2.77,3.37,2.76,2.77,3.38,2.8,2.53,3.18,2.67
Brazil,Serie A,156,2012,12-08-12,20:00,Internacional,18,Ponte Preta,18,2,1,1,1.54,4.34,7.02,1.56,4.34,7.02,1.53,3.8,6.1
Brazil,Serie A,157,2012,12-08-12,20:00,Sao Paulo,26,Gremio,26,1,2,2,2.31,3.3,3.5,2.31,3.45,3.75,2.11,3.27,3.33
Brazil,Serie A,158,2012,12-08-12,22:30,Fluminense,15,Palmeiras,15,1,0,1,1.83,3.5,5.25,1.83,3.7,5.26,1.73,3.44,4.68
Brazil,Serie A,159,2012,12-08-12,22:30,Portuguesa,23,Botafogo RJ,23,1,1,0,2.49,3.43,3.05,2.7,3.43,3.05,2.49,3.18,2.73
Brazil,Serie A,160,2012,15-08-12,23:30,Cruzeiro,12,Fluminense,12,1,1,0,2.58,3.28,3.01,2.58,3.31,3.01,2.43,3.17,2.79
Brazil,Serie A,161,2012,15-08-12,23:30,Gremio,17,Portuguesa,17,1,2,2,1.63,3.77,6.94,1.64,4,7.25,1.54,3.73,6.15
Brazil,Serie A,162,2012,16-08-12,0:30,Atletico GO,2,Atletico-MG,2,1,1,0,3.76,3.37,2.16,4,3.5,2.16,3.62,3.3,1.98
Brazil,Serie A,163,2012,16-08-12,0:30,Ponte Preta,22,Bahia,22,0,2,2,1.61,4.15,6.19,1.7,4.15,6.19,1.62,3.63,5.21
Brazil,Serie A,164,2012,16-08-12,1:50,Botafogo RJ,7,Sport Recife,7,2,0,1,1.41,4.93,8.82,1.5,5.2,8.82,1.41,4.19,7.39
Brazil,Serie A,165,2012,16-08-12,1:50,Nautico,20,Sao Paulo,20,3,0,1,2.45,3.58,2.96,2.5,3.58,3,2.41,3.24,2.77
